id,capability,status,sprint,layer,component,actor,description,interface,addresses_or_ids,preconditions,acceptance_evidence,limitations,next
C001,Identified payment (transferWithMemo),shipped,1.5,execution,PaymentToken F210,payer / operator-api,"Move F210 with ISO-shaped identity: to amount endToEndId uetr instrId ccy msgType trHash packHash. Emits MemoAnchored and EvidenceAnchored.",eth_send / POST /v1/payments,F210 F202 F212,Sender not frozen; policy allow; --dev or Mode A RPC 8091,Receipt status 1; memoHash matches keccak256(abi.encode(endToEndId uetr instrId ccy msgType tx.origin)),Dummy F210 is QPT not USDC; --dev datadir ephemeral,Live USDC stays on CCTP dest (C040)
C002,Memo hash with tx.origin,shipped,1.5,execution,F202 iso memo precompile,node,Preimage includes signer origin so two callers cannot share a memo hash.,precompile validateAndCommit,F202,spec >= PRAGUE; F202 new_stateful,cast call F202 from anvil0 vs anvil1 yields different hashes; 0x4e907bc6… for Sprint0 vector + anvil0,Must use tx.origin not msg.sender (token is F210),Do not change preimage
C003,Evidence pack anchor,shipped,1.5,execution,EvidenceAnchor F212,payer,Stores packHash + memoHash + token address for off-chain file binding.,event EvidenceAnchored,F212,Valid memo path,Event on successful transferWithMemo,Does not store the file itself,Object store / regulator export later
C004,Policy check (allow / reason codes),shipped,1.5,execution,F201 + F211 + quub-policy,PaymentToken only,F201 sloads F211; returns allow + uint16 reason. Only F210 may call F201.,precompile check,F201 F211,F201 new_stateful; caller == F210,EOA cast call F201 reverts; frozen from = reason 1,Reason table year-1 subset,Wire real travel-rule provider into trHash
C005,Sanctions freeze (immediate),shipped,5,control,PolicyAdmin F211,OwnerA or OwnerB,"freeze(address) one tx from either owner. Next memo from that address reverts; balances unchanged.",cast / POST /v1/freeze,F211,Caller is owner,sprint5-dev + gateway-dev 422 reason 1,Not a global chain halt,Keep instant in production
C006,Controlled unfreeze (maker-checker),shipped,5,control,PolicyAdmin F211,OwnerA then OwnerB,"proposeUnfreeze + confirmUnfreeze; confirm must be the other owner. Same key twice rejected.",cast two keys / Foundry,F211,--dev OwnerA=anvil0 OwnerB=anvil1,test_unfreeze_proposeA_confirmB; anvil0-alone rejected,operator-api /v1/unfreeze may still be one-key (align),Mode A genesis still single-owner (STATUS.md)
C007,Param change dual-control,shipped,5,control,PolicyAdmin F211,OwnerA then OwnerB,setFeeToken setThreshold pause require propose+other-owner confirm.,eth_send two keys,F211,Two distinct owners,Foundry setThreshold A-alone does not stick,No 24h delay,Add timelock only on params not freeze
C008,Listed-token paymaster fee,shipped,5,execution,F213 + F210 paymasterDebit,F210 during memo,"After policy allow: quote then takeFee; F213 only callable by F210; debit via paymasterDebit/_move to feeRecipient 0x…FEE0. Quote 21000 = taken 21000.",transferWithMemo,F213 F210 F203 thin,Fee token allowlisted,sprint5-dev fee delta 21000/21000,Plain transfer fee-free; not 1559; not ETH gas,Do not productize QPT as ticker
C009,Fee not taken on policy reject,shipped,5,execution,PaymentToken,payer,Frozen or other reject: principal and fee balances unchanged.,transferWithMemo revert,F210 F213,F211 frozen,Foundry Sprint5,n/a,n/a
C010,Payment-priority lane 70/30,shipped,3,block building,quub-pool + quub-payload,node,"Payment iff to==F210 and exact transferWithMemo calldata. Fill 70% payment 30% general then leftover. Lane beats tip. Empty payment lane may fill 100% general.",payload builder --dev and --engine,PAYMENT_LANE_BPS=7000,Pending mixed mempool,flood 0x916d9d14… 15/5 80.64% then 8454 bps after fees,Not a fee market; packing slack ~65% bar,Do not retune BPS to chase a number
